NU_ANO,CO_UF_ESCOLA,SG_UF_ESCOLA,CO_MUNICIPIO_ESCOLA,NO_MUNICIPIO_ESCOLA,CO_ESCOLA_EDUCACENSO,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_CN,NU_MEDIA_CH,NU_MEDIA_LP,NU_MEDIA_MT,NU_MEDIA_RED,NU_MEDIA_OBJ,NU_MEDIA_TOT,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
2006,24,RN,2408003,Mossoró,24001562,EE EDUC PRES KENNEDY ENS 1 E 2 GRAUS,2,1,52,,14,,,,,,,,33.04,,,,,,,De 31 a 60 alunos
2007,24,RN,2408003,Mossoró,24001562,EE EDUC PRES KENNEDY ENS 1 E 2 GRAUS,2,1,39,,17,,,,,,,,45.22,,,,69.7,0.0,30.3,De 31 a 60 alunos
2008,24,RN,2408003,Mossoró,24001562,ESCOLA ESTADUAL EDUCANDÁRIO PRESIDENTE KENNEDY ENS 1 E 2 GRAUS,2,1,50,,19,,,,,,52.78,30.66,,,,,64.6,1.3,34.1,De 31 a 60 alunos
2006,24,RN,2408003,Mossoró,24001759,COLEGIO MARIA AUXILIADORA COSTA,4,1,13,,11,,,,,,,,45.47,,,,,,,De 1 a 30 alunos
2006,24,RN,2408003,Mossoró,24001902,EE GILBERTO ROLA,2,1,88,,50,,,,,,,,35.68,,,,,,,De 61 a 90 alunos
2008,24,RN,2408003,Mossoró,24001902,ESCOLA ESTADUAL GILBERTO ROLA,2,2,64,,14,,,,,,55.0,29.93,,,,,67.4,2.7,29.9,De 61 a 90 alunos
2005,24,RN,2408003,Mossoró,24002011,EE 30 DE SETEMBRO ENS 1 E 2 GRAUS,2,1,53,,12,,,,,,,,39.45,,,,52.2,3.1,44.7,De 31 a 60 alunos
2007,24,RN,2408003,Mossoró,24002011,EE 30 DE SETEMBRO ENS 1 E 2 GRAU,2,1,41,,10,,,,,,,,40.82,,,,49.5,1.0,49.5,De 31 a 60 alunos
2008,24,RN,2408003,Mossoró,24002011,ESCOLA ESTADUAL 30 DE SETEMBRO,2,1,29,,10,,,,,,56.75,30.95,,,,,59.0,1.2,39.8,De 1 a 30 alunos
2005,24,RN,2408003,Mossoró,24002062,EE AIDA R C PEREIRA ENS 1 E 2 GRAUS,2,1,271,,120,,,,,,,,41.33,,,,78.2,2.2,19.6,Maior que 90 alunos
2006,24,RN,2408003,Mossoró,24002062,EE AIDA R C PEREIRA ENS 1 E 2 GRAUS,2,1,271,,133,,,,,,,,42.18,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24002062,EE AIDA RAMALHO CORTEZ PEREIRA ENS. FUNDAMENTAL E MÉDIO,2,1,271,,111,,,,,,,,47.22,,,,65.9,17.3,16.8,Maior que 90 alunos
2008,24,RN,2408003,Mossoró,24002062,ESCOLA ESTADUAL AIDA RAMALHO CORTEZ PEREIRA ENS. FUNDAMENTAL E MÉDIO,2,1,282,,109,,,,,,56.68,32.69,,,,,69.7,13.0,17.3,Maior que 90 alunos
2005,24,RN,2408003,Mossoró,24002224,EE FRANCISCO A MEDEIROS 1 E 2 GRAUS,2,1,70,,12,,,,,,,,35.77,,,,70.5,5.1,24.4,De 61 a 90 alunos
2006,24,RN,2408003,Mossoró,24002224,EE FRANCISCO A MEDEIROS 1 E 2 GRAUS,2,1,134,,26,,,,,,,,31.75,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24002224,EE FRANCISCO A MEDEIROS 1 E 2 GRAUS,2,1,154,,21,,,,,,,,39.05,,,,48.1,11.0,40.9,Maior que 90 alunos
2005,24,RN,2408003,Mossoró,24002232,EE GOV DIX SEPT ROSADO ENS 1 GRAU,2,1,239,,54,,,,,,,,37.16,,,,59.9,2.9,37.2,Maior que 90 alunos
2006,24,RN,2408003,Mossoró,24002232,EE GOV DIX SEPT ROSADO ENS 1 GRAU,2,1,218,,65,,,,,,,,37.72,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24002232,EE GOV DIX SEPT ROSADO,2,1,222,,71,,,,,,,,44.54,,,,63.3,4.7,32.0,Maior que 90 alunos
2008,24,RN,2408003,Mossoró,24002232,ESCOLA ESTADUAL GOVERNADOR DIX-SEPT ROSADO,2,1,214,,61,,,,,,54.7,30.91,,,,,62.1,5.7,32.2,Maior que 90 alunos
2005,24,RN,2408003,Mossoró,24002240,EE J M VASCONCELOS ESN 1 E 2 GRAUS,2,1,126,,45,,,,,,,,38.55,,,,59.1,3.2,37.7,Maior que 90 alunos
2006,24,RN,2408003,Mossoró,24002240,EE J M VASCONCELOS ESN 1 E 2 GRAUS,2,1,142,,42,,,,,,,,40.26,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24002240,EE J M VASCONCELOS ESN 1 E 2 GRAUS,2,1,180,,42,,,,,,,,43.62,,,,67.7,3.1,29.2,Maior que 90 alunos
2008,24,RN,2408003,Mossoró,24002240,EE J M VASCONCELOS ESN 1 E 2 GRAUS,2,1,156,,37,,,,,,52.5,34.96,,,,,71.1,4.5,24.4,Maior que 90 alunos
